# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
00:00:dd,Tcl,TCL,tv
00:00:f0,SamsungElect,Samsung / 三星,
00:01:4a,Sony,Sony / 索尼,
00:01:e0,Fast,迅捷 / FAST,router
00:02:6c,PhilipsCFT,Signify / 飞利浦,bulb
00:02:78,SamsungElect,Samsung / 三星,
00:03:93,Apple,Apple,
00:05:02,Apple,Apple,
00:05:4e,Philips,Signify / 飞利浦,bulb
00:07:a8,HaierGroupTe,海尔,
00:07:ab,SamsungElect,Samsung / 三星,
00:08:c6,PhilipsConsu,Signify / 飞利浦,bulb
00:09:18,SamsungTechw,Samsung / 三星,
00:09:5b,Netgear,NETGEAR,router
00:09:5c,PhilipsMedic,Signify / 飞利浦,bulb
00:09:fb,PhilipsPatie,Signify / 飞利浦,bulb
00:0a:27,Apple,Apple,
00:0a:95,Apple,Apple,
00:0a:d9,Sony,Sony / 索尼,
00:0a:eb,TpLinkTechno,TP-Link,router
00:0c:6e,ASUSTekCOMPU,华硕,router
00:0d:93,Apple,Apple,
00:0d:ae,SamsungHeavy,Samsung / 三星,
00:0d:e5,SamsungThale,Samsung / 三星,
00:0e:07,Sony,Sony / 索尼,
00:0e:a6,ASUSTekCOMPU,华硕,router
00:0f:b5,Netgear,NETGEAR,router
00:0f:de,Sony,Sony / 索尼,
00:0f:e5,MercurySecur,水星 / Mercury,router
00:10:fa,Apple,Apple,
00:11:24,Apple,Apple,
00:11:2f,ASUSTekCOMPU,华硕,router
00:11:d8,ASUSTekCOMPU,华硕,router
00:12:47,SamsungElect,Samsung / 三星,
00:12:ee,Sony,Sony / 索尼,
00:12:fb,SamsungElect,Samsung / 三星,
00:13:77,SamsungElect,Samsung / 三星,
00:13:a9,Sony,Sony / 索尼,
00:13:d4,ASUSTekCOMPU,华硕,router
00:14:51,Apple,Apple,
00:14:6c,Netgear,NETGEAR,router
00:14:78,TpLinkTechno,TP-Link,router
00:15:6d,Ubiquiti,Ubiquiti,router
00:15:99,SamsungElect,Samsung / 三星,
00:15:b9,SamsungElect,Samsung / 三星,
00:15:eb,zte,中兴,
00:15:f2,ASUSTekCOMPU,华硕,router
00:16:20,Sony,Sony / 索尼,
00:16:32,SamsungElect,Samsung / 三星,
00:16:6b,SamsungElect,Samsung / 三星,
00:16:6c,SamsungElect,Samsung / 三星,
00:16:7a,SkyworthOver,创维,tv
00:16:b8,Sony,Sony / 索尼,
00:16:cb,Apple,Apple,
00:16:db,SamsungElect,Samsung / 三星,
00:16:de,FAST,迅捷 / FAST,router
00:17:31,ASUSTekCOMPU,华硕,router
00:17:88,PhilipsLight,Signify / 飞利浦,bulb
00:17:c9,SamsungElect,Samsung / 三星,
00:17:d5,SamsungElect,Samsung / 三星,
